accepteur,age,credit1M,isFraude,nbTransactions1h,nbTransactions24h,securizedTransaction
LEBONCOIN,29,1200,0,0,1,False
AIRFRANCE,67,3900,0,0,1,False
PAYPAL,29,1400,0,0,8,True
GOOGLE,46,947,0,0,1,False
AMAZON,50,816,0,0,0,False
AMAZON,40,1069,0,0,1,False
LEBONCOIN,21,1100,0,1,1,False
EASYJET,89,1100,0,0,1,True
AMAZON,42,7600,0,0,1,True
ZARA,23,2300,0,1,2,False
PAYPAL,26,1800,0,1,2,False
AIRFRANCE,56,2800,0,1,4,False
EASYJET,73,1500,0,0,1,False
GOOGLE,20,1100,0,1,2,False
EASYJET,72,1200,0,0,1,False
GOOGLE,49,2300,1,3,29,False
HM,36,1996,0,0,1,False
EASYJET,65,1000,0,0,0,False
GOOGLE,46,773,0,0,0,False
GOOGLE,27,1500,0,1,7,True
AMAZON,42,7200,0,0,0,False
UBER,75,2700,0,3,3,False
LEBONCOIN,31,1544,0,0,0,True
HM,24,1100,0,1,1,False
HM,48,1679,0,0,0,False
LEBONCOIN,26,3400,1,0,2,False
GOOGLE,28,2200,0,1,7,False
UBER,50,2100,0,1,3,False
EASYJET,36,2342,0,1,1,False
LEBONCOIN,44,611,0,0,1,True
AIRFRANCE,61,800,0,0,1,False
GOOGLE,27,3700,0,2,5,True
ZARA,48,2300,0,1,2,True
EASYJET,89,900,0,0,1,False
EASYJET,24,1700,0,1,2,False
EASYJET,26,1500,0,0,7,False
UBER,26,1600,0,0,9,True
AIRFRANCE,88,1300,0,0,0,True
HM,41,1900,0,0,1,False
LEBONCOIN,48,2000,0,0,1,False
GOOGLE,38,1890,0,1,1,False
LEBONCOIN,39,1600,0,0,0,False
GOOGLE,19,3400,0,2,9,False
AMAZON,56,2600,0,0,0,False
ZARA,42,3400,0,4,5,False
AIRFRANCE,84,1300,0,0,1,False
GOOGLE,42,2043,0,0,0,True
AIRFRANCE,39,2347,0,0,1,False
GOOGLE,32,1961,0,1,1,False
PAYPAL,36,1800,0,0,8,True
AIRFRANCE,69,1100,0,0,0,False
LEBONCOIN,47,881,0,0,0,True
GOOGLE,20,2100,0,2,9,False
GOOGLE,43,866,0,0,0,False
LEBONCOIN,53,2225,0,0,0,False
GOOGLE,24,2500,0,2,6,True
GOOGLE,23,400,0,0,0,True
GOOGLE,82,2800,0,2,8,True
AIRFRANCE,32,2742,0,0,0,True
GOOGLE,49,789,0,0,0,True
HM,20,900,0,0,0,True
PAYPAL,34,1700,0,4,8,True
UBER,43,2155,0,0,1,False
PAYPAL,43,1400,0,3,4,True
ZARA,41,2600,0,1,2,False
GOOGLE,27,2700,0,0,6,False
GOOGLE,26,1600,0,2,7,False
GOOGLE,25,1600,0,0,7,False
GOOGLE,19,2300,0,1,9,True
LEBONCOIN,43,823,0,0,0,False
EASYJET,80,900,0,0,1,False
AMAZON,51,3900,0,0,0,False
HM,23,800,0,0,0,False
GOOGLE,47,652,0,0,0,False
GOOGLE,26,3200,0,1,7,False
AMAZON,39,1113,0,0,0,False
AIRFRANCE,37,2476,0,0,1,False
AIRFRANCE,52,6700,0,0,1,True
GOOGLE,19,800,0,0,0,True
EASYJET,61,800,0,0,1,False
EASYJET,33,2503,0,0,1,False
GOOGLE,24,1800,0,1,4,False
HM,30,2700,0,0,1,False
HM,32,2300,0,0,0,True
GOOGLE,25,2400,0,1,1,False
LEBONCOIN,22,400,0,1,1,False
HM,37,1800,0,1,2,False
GOOGLE,26,2700,0,2,3,False
UBER,28,2200,0,1,6,False
GOOGLE,29,2100,0,2,8,False
AIRFRANCE,32,3500,0,1,1,False
GOOGLE,19,1900,0,0,9,False
AIRFRANCE,59,3400,0,0,0,False
AMAZON,42,1178,0,0,0,False
LEBONCOIN,34,1700,0,4,4,False
PAYPAL,30,2700,0,1,1,False
GOOGLE,23,2300,0,0,0,False
GOOGLE,51,1036,0,0,1,True
ZARA,36,3500,0,4,5,False
LEBONCOIN,47,780,0,0,1,False
LEBONCOIN,20,1700,0,0,0,False
AMAZON,64,3300,0,0,1,False
PAYPAL,44,1995,0,1,1,False
ZARA,28,2188,0,0,0,False
GOOGLE,39,683,0,0,1,False
AIRFRANCE,66,1300,0,0,1,False
LEBONCOIN,40,1300,0,0,0,False
AIRFRANCE,88,1400,0,1,1,False
UBER,28,2000,0,0,9,False
GOOGLE,41,1024,0,0,1,False
AIRFRANCE,73,1700,0,0,1,False
LEBONCOIN,28,1600,0,0,1,False
PAYPAL,54,2154,0,1,1,False
ZARA,36,2600,0,0,1,False
EASYJET,82,1700,0,0,0,True
AIRFRANCE,71,1100,0,0,1,True
GOOGLE,21,1700,0,0,9,False
AIRFRANCE,32,3300,0,0,4,False
ZARA,30,1574,0,0,0,False
ZARA,33,2400,0,0,5,True
HM,19,600,0,1,2,False
AMAZON,72,800,0,2,2,False
GOOGLE,21,600,0,0,0,True
AIRFRANCE,69,4200,0,0,1,False
HM,20,900,0,1,1,False
HM,48,2459,0,0,1,False
AIRFRANCE,45,5300,0,0,0,True
LEBONCOIN,25,1400,0,0,0,False
UBER,52,2600,0,1,9,False
HM,24,500,0,0,2,True
AIRFRANCE,64,1500,0,0,0,True
EASYJET,28,1880,0,1,1,False
ZARA,33,2400,0,0,2,True
AIRFRANCE,45,1530,0,0,0,False
AMAZON,42,690,0,0,1,False
AIRFRANCE,35,1000,0,0,0,False
GOOGLE,22,1600,0,0,3,False
GOOGLE,49,970,0,0,1,False
AIRFRANCE,81,1200,0,0,1,True
GOOGLE,24,900,0,0,1,False
LEBONCOIN,40,2200,0,4,7,False
EASYJET,25,1700,0,0,0,False
GOOGLE,19,3100,0,2,8,True
GOOGLE,28,2400,0,0,3,False
AIRFRANCE,70,1100,0,0,1,False
AIRFRANCE,78,900,0,0,1,False
LEBONCOIN,30,1527,0,0,0,False
GOOGLE,44,1047,0,0,0,False
AIRFRANCE,75,700,0,0,1,False
GOOGLE,58,3000,0,3,5,False
LEBONCOIN,29,2400,0,1,4,False
AIRFRANCE,80,1300,0,0,0,False
GOOGLE,22,1800,0,1,9,False
LEBONCOIN,38,2298,0,0,0,False
PAYPAL,24,2200,0,0,3,False
AMAZON,41,741,0,0,0,False
LEBONCOIN,19,700,0,0,0,False
AIRFRANCE,36,2120,0,0,1,False
LEBONCOIN,22,600,0,1,1,False
GOOGLE,29,3600,0,0,2,False
GOOGLE,19,800,0,0,0,False
GOOGLE,18,3200,0,0,3,True
GOOGLE,18,2800,0,1,3,False
AMAZON,38,804,0,0,1,True
GOOGLE,29,1800,0,1,4,False
AIRFRANCE,83,800,0,0,1,False
EASYJET,73,1200,0,0,1,True
AMAZON,68,4600,0,0,0,True
GOOGLE,29,3900,0,2,4,False
AIRFRANCE,76,700,0,0,0,False
HM,44,2200,0,0,0,False
AIRFRANCE,45,5000,0,0,0,False
ZARA,36,2500,0,0,1,False
GOOGLE,22,3500,0,2,5,False
AIRFRANCE,58,5300,0,0,1,True
LEBONCOIN,28,1400,0,0,0,False
AMAZON,38,831,0,0,1,False
AIRFRANCE,67,700,0,0,0,False
AIRFRANCE,42,2476,0,0,0,False
GOOGLE,39,1023,0,0,0,False
ZARA,40,1200,0,1,1,False
AMAZON,36,1821,0,1,1,False
GOOGLE,22,3200,0,0,3,False
GOOGLE,29,2200,0,0,8,True
LEBONCOIN,48,1600,0,0,2,True
GOOGLE,19,500,0,1,1,False
AMAZON,42,1012,0,0,0,False
GOOGLE,29,1600,0,1,1,False
GOOGLE,25,1900,0,1,8,False
AIRFRANCE,40,2315,0,0,1,False
GOOGLE,21,3700,0,2,6,False
LEBONCOIN,28,1700,0,0,1,False
EASYJET,66,1000,0,0,0,True
AIRFRANCE,65,1500,0,0,0,False
GOOGLE,41,1132,0,0,0,False
ZARA,46,2700,0,0,0,True
AMAZON,67,3300,0,0,0,True
GOOGLE,50,1200,0,0,3,False
HM,24,300,0,0,0,True
GOOGLE,28,1800,0,1,8,True
EASYJET,53,1842,0,0,1,False
EASYJET,30,1994,0,0,0,False
GOOGLE,57,3200,0,1,9,False
GOOGLE,22,1500,0,0,2,False
GOOGLE,25,3200,0,1,6,False
AIRFRANCE,78,1200,0,0,1,False
GOOGLE,22,900,0,3,5,False
HM,19,500,0,0,1,True
GOOGLE,25,2700,0,1,8,True
LEBONCOIN,24,1600,0,0,6,False
AIRFRANCE,85,1300,0,0,0,False
EASYJET,25,1700,0,0,6,True
ZARA,40,2700,0,1,2,False
GOOGLE,41,1187,0,0,0,True
LEBONCOIN,24,500,0,0,1,True
UBER,72,2700,0,2,7,True
PAYPAL,47,2249,0,0,1,False
AMAZON,49,1196,0,0,0,True
LEBONCOIN,45,510,0,0,0,False
AMAZON,30,2341,0,0,1,True
UBER,40,2134,0,0,0,False
UBER,27,2200,0,0,2,False
AIRFRANCE,82,1300,0,0,0,True
ZARA,72,1500,0,0,7,False
AMAZON,45,5700,0,0,0,False
GOOGLE,49,1006,0,0,0,False
AIRFRANCE,60,1700,0,1,3,False
AIRFRANCE,44,2361,0,1,1,True
AIRFRANCE,80,1100,0,0,0,False
GOOGLE,24,2500,0,1,8,False
PAYPAL,26,2000,0,0,0,True
EASYJET,73,1300,0,0,1,True
GOOGLE,25,3500,0,0,9,False
HM,41,1800,0,1,2,False
LEBONCOIN,40,829,0,0,1,False
LEBONCOIN,20,1000,0,0,2,True
LEBONCOIN,47,981,0,0,0,True
GOOGLE,20,2200,0,2,3,False
GOOGLE,23,2500,0,0,8,False
LEBONCOIN,24,1900,0,0,2,False
GOOGLE,50,1140,0,0,1,False
AIRFRANCE,61,6900,0,0,0,False
HM,40,2600,0,1,2,False
LEBONCOIN,31,2500,0,0,2,True
UBER,88,2300,0,0,6,False
AIRFRANCE,67,2400,0,0,0,False
AMAZON,39,1713,0,1,1,False
ZARA,28,1200,0,0,4,False
PAYPAL,28,1700,0,0,6,False
GOOGLE,28,2500,0,1,5,False
GOOGLE,23,800,0,0,1,True
EASYJET,60,1600,0,0,0,True
HM,21,900,0,0,0,False
AIRFRANCE,67,5000,0,0,1,True
HM,50,2632,0,1,1,False
EASYJET,60,700,0,0,1,True
HM,48,1400,0,0,0,False
AIRFRANCE,49,3900,0,0,0,False
UBER,38,1766,0,0,0,False
AIRFRANCE,34,1000,0,3,7,False
LEBONCOIN,88,900,0,1,1,False
AMAZON,43,984,0,0,1,False
EASYJET,22,1400,0,0,0,False
AIRFRANCE,82,1400,0,0,4,False
LEBONCOIN,18,500,0,1,1,True
AIRFRANCE,56,3000,0,0,1,False
LEBONCOIN,47,1166,0,0,0,False
AMAZON,57,5800,0,0,1,True
HM,31,2100,0,0,1,False
AMAZON,68,6600,0,0,0,False
GOOGLE,28,1900,0,1,9,False
EASYJET,66,700,0,0,0,False
EASYJET,70,1600,0,0,1,False
LEBONCOIN,43,2100,0,1,1,False
GOOGLE,38,1053,0,0,1,False
GOOGLE,44,820,0,0,0,False
EASYJET,32,1607,0,1,1,False
PAYPAL,29,2300,0,0,4,True
ZARA,62,2800,1,3,3,False
LEBONCOIN,41,2500,0,0,0,False
LEBONCOIN,25,1500,0,1,8,False
AMAZON,46,2900,0,0,0,True
HM,32,2400,0,1,3,False
AIRFRANCE,81,1700,0,0,0,False
GOOGLE,39,1037,0,0,0,False
GOOGLE,29,3500,0,1,2,False
HM,19,500,0,0,0,False
HM,36,2572,0,0,0,False
GOOGLE,24,1500,0,0,3,False
AMAZON,46,864,0,0,1,True
LEBONCOIN,25,2300,0,1,5,True
AMAZON,74,2400,0,0,0,True
HM,45,1200,0,0,3,False
GOOGLE,43,2200,0,0,7,False
EASYJET,28,2300,0,1,3,False
PAYPAL,24,1400,0,1,6,False
UBER,35,1994,0,0,0,True
HM,19,400,0,0,1,True
HM,37,2300,0,1,3,False
AIRFRANCE,53,5600,0,0,1,False
LEBONCOIN,48,2316,0,0,0,True
LEBONCOIN,28,1300,0,0,1,True
LEBONCOIN,51,615,0,0,0,False
HM,35,1700,0,1,3,False
LEBONCOIN,43,998,0,0,0,False
GOOGLE,33,1995,0,0,0,False
ZARA,45,1300,0,1,2,False
UBER,69,1300,0,0,0,False
LEBONCOIN,29,2400,0,1,3,False
LEBONCOIN,22,2300,0,0,0,False
AMAZON,52,6800,0,0,1,False
LEBONCOIN,19,400,0,0,0,False
AMAZON,38,1047,0,0,1,False
EASYJET,68,1200,0,0,0,False
LEBONCOIN,50,1710,0,1,1,False
HM,19,1100,0,0,0,False
HM,18,600,0,0,1,False
AIRFRANCE,68,4000,0,0,0,False
EASYJET,76,1100,0,0,1,False
LEBONCOIN,27,2500,0,0,0,False
GOOGLE,47,683,0,0,1,False
LEBONCOIN,46,570,0,0,1,False
UBER,23,1500,0,0,0,False
LEBONCOIN,86,1700,0,0,9,False
LEBONCOIN,47,1526,0,0,0,False
LEBONCOIN,27,2375,0,0,0,True
AMAZON,40,5300,0,0,0,True
AMAZON,47,2900,0,0,1,False
AMAZON,29,1903,0,0,0,False
PAYPAL,37,2100,0,2,8,False
GOOGLE,64,2800,1,1,1,False
LEBONCOIN,26,1200,1,1,1,False
AIRFRANCE,51,2317,0,0,0,True
UBER,77,1800,1,0,0,False
AMAZON,37,2445,0,0,0,True
LEBONCOIN,18,1000,0,1,2,False
UBER,29,1900,0,0,2,False
GOOGLE,71,2500,0,2,5,True
HM,23,1000,0,0,0,True
AMAZON,46,735,0,0,1,False
LEBONCOIN,22,2200,0,1,6,True
AIRFRANCE,62,1500,0,0,0,False
AMAZON,62,3800,0,0,1,False
LEBONCOIN,21,300,0,1,2,False
GOOGLE,19,3800,0,1,2,False
AIRFRANCE,68,5800,0,0,1,False
GOOGLE,26,1500,0,1,3,True
LEBONCOIN,41,1900,0,1,3,False
GOOGLE,20,600,0,1,1,True
GOOGLE,28,1600,0,0,9,False
LEBONCOIN,19,500,0,1,1,False
GOOGLE,29,1509,0,0,0,True
AIRFRANCE,45,2785,0,1,1,False
PAYPAL,86,3500,0,1,7,False
LEBONCOIN,38,2500,0,0,2,False
AMAZON,67,7400,0,0,1,False
GOOGLE,23,2700,0,1,4,False
AMAZON,47,4900,0,0,0,False
AIRFRANCE,74,700,0,0,1,True
AMAZON,61,3200,0,0,1,False
LEBONCOIN,27,1538,0,0,1,True
HM,24,300,0,1,1,True
LEBONCOIN,40,1088,0,0,1,True
HM,23,1100,0,0,0,True
AIRFRANCE,49,3200,0,0,1,False
GOOGLE,24,700,0,0,1,False
GOOGLE,24,2700,0,0,4,False
LEBONCOIN,24,800,0,1,2,False
UBER,33,2141,0,0,1,False
EASYJET,29,2400,0,0,9,False
ZARA,27,2600,0,0,3,False
HM,28,2400,0,0,3,False
GOOGLE,37,2800,0,2,2,False
LEBONCOIN,22,1000,0,0,1,False
LEBONCOIN,48,688,0,0,0,False
AMAZON,40,606,0,0,0,False
AIRFRANCE,63,1700,0,0,1,False
GOOGLE,18,800,0,0,0,False
HM,21,900,0,1,2,True
HM,44,1300,0,1,2,False
HM,19,600,0,0,1,False
EASYJET,60,1700,0,0,0,False
GOOGLE,29,3500,0,1,3,False
LEBONCOIN,23,1500,0,0,3,False
AIRFRANCE,45,6500,0,0,1,False
GOOGLE,20,1100,0,0,2,False
LEBONCOIN,49,2073,0,0,1,False
GOOGLE,24,1400,0,0,8,True
EASYJET,88,1700,0,0,1,False
GOOGLE,28,2100,0,0,5,False
UBER,29,2400,0,0,0,True
AMAZON,86,2600,0,1,1,False
AIRFRANCE,52,2613,0,1,1,False
AMAZON,47,2192,0,0,0,True
GOOGLE,22,1600,0,1,8,False
EASYJET,88,1700,0,0,0,False
LEBONCOIN,31,1300,0,0,0,True
AMAZON,52,3100,0,0,1,False
LEBONCOIN,20,300,0,0,0,True
HM,19,1000,0,0,2,False
GOOGLE,48,1931,0,0,0,False
GOOGLE,22,2400,0,0,1,False
AIRFRANCE,51,3400,0,2,2,False
LEBONCOIN,45,672,0,0,0,True
AMAZON,47,3100,0,0,0,True
LEBONCOIN,21,1400,0,1,1,False
AIRFRANCE,52,6900,0,0,1,False
GOOGLE,40,829,0,0,0,False
AIRFRANCE,66,6900,0,0,0,False
AMAZON,66,3800,0,0,1,False
EASYJET,69,1300,0,0,1,False
HM,44,2700,0,1,1,False
UBER,61,2000,0,1,6,False
AMAZON,39,544,0,0,0,False
ZARA,48,2700,0,0,0,False
GOOGLE,24,3000,0,2,4,False
AMAZON,69,5900,0,0,1,False
GOOGLE,19,1500,0,0,1,False
EASYJET,79,1000,0,0,1,False
UBER,61,3400,0,0,0,False
GOOGLE,34,1694,0,0,0,True
UBER,66,1400,0,2,8,False
PAYPAL,24,800,0,1,1,True
EASYJET,80,1700,0,0,0,False
EASYJET,87,700,0,0,1,True
LEBONCOIN,75,2300,0,0,1,True
AIRFRANCE,83,900,0,0,0,False
PAYPAL,80,1000,0,0,5,False
AMAZON,80,1200,0,4,8,False
UBER,27,1400,0,0,6,True
AMAZON,39,2602,0,1,1,False
HM,22,400,0,1,1,False
HM,33,1600,0,1,3,False
GOOGLE,22,500,0,0,0,False
PAYPAL,29,2300,0,1,9,False
HM,19,300,0,1,2,False
GOOGLE,20,2000,0,0,4,True
AMAZON,47,614,0,0,0,False
PAYPAL,22,1800,0,0,9,True
AIRFRANCE,81,1500,0,0,0,True
GOOGLE,21,2600,0,0,8,False
LEBONCOIN,45,2000,1,0,0,False
GOOGLE,28,3300,0,0,5,False
GOOGLE,25,3600,0,1,2,False
GOOGLE,21,600,0,1,2,False
GOOGLE,28,2200,0,1,6,True
LEBONCOIN,40,932,0,0,0,False
GOOGLE,38,3500,0,2,7,False
UBER,24,2100,0,1,1,False
HM,32,1832,0,0,1,True
GOOGLE,24,800,0,1,1,False
LEBONCOIN,22,1400,0,1,2,False
AIRFRANCE,72,1400,0,0,0,False
ZARA,62,3400,0,2,8,False
AMAZON,41,5900,0,0,0,False
GOOGLE,26,2500,0,1,7,True
UBER,85,2600,0,3,8,False
GOOGLE,27,2200,0,1,2,False
AIRFRANCE,71,800,0,0,0,False
LEBONCOIN,23,400,0,1,1,False
HM,19,500,0,0,1,False
EASYJET,60,1600,0,0,1,False
AIRFRANCE,65,1500,0,0,0,False
GOOGLE,22,1000,0,1,2,False
EASYJET,75,1300,0,0,1,False
LEBONCOIN,46,604,0,0,0,False
GOOGLE,20,1000,0,0,0,False
GOOGLE,18,300,0,1,1,False
AMAZON,69,5200,0,0,0,True
PAYPAL,37,1700,0,1,8,False
GOOGLE,19,500,0,0,0,False
GOOGLE,18,1800,0,0,0,False
GOOGLE,24,1700,0,0,7,False
AMAZON,52,7500,0,0,0,False
EASYJET,80,1100,0,0,0,False
ZARA,21,1600,0,0,0,False
ZARA,39,1900,0,0,3,True
UBER,22,2000,0,1,4,True
GOOGLE,19,3000,0,0,2,False
GOOGLE,52,3500,0,4,6,False
LEBONCOIN,25,900,0,0,5,False
EASYJET,87,900,0,0,1,False
GOOGLE,25,2500,0,2,6,True
GOOGLE,18,3200,0,1,8,True
LEBONCOIN,29,2000,0,1,5,True
UBER,29,2377,0,0,0,False
GOOGLE,18,1600,0,1,9,True
EASYJET,79,900,0,0,1,False
PAYPAL,39,2739,0,0,1,False
AIRFRANCE,44,4400,0,0,0,False
ZARA,36,2200,0,0,0,False
PAYPAL,26,1400,0,1,3,True
GOOGLE,22,3600,0,1,3,True
HM,22,300,0,1,1,False
EASYJET,73,1500,0,0,1,False
HM,33,1400,0,0,0,False
GOOGLE,28,2300,0,0,5,True
ZARA,37,2300,0,1,2,False
LEBONCOIN,18,700,0,0,1,False
LEBONCOIN,29,2400,0,1,3,False
ZARA,45,1400,0,0,2,False
LEBONCOIN,41,1600,0,0,0,False
GOOGLE,48,914,0,0,1,False
EASYJET,83,1500,0,0,1,False
UBER,50,3200,0,0,8,True
GOOGLE,28,2100,0,0,0,False
GOOGLE,20,800,0,0,1,False
AIRFRANCE,85,1300,0,0,0,False
LEBONCOIN,36,1000,0,3,3,False
AIRFRANCE,62,1400,0,0,0,False
GOOGLE,25,1500,0,0,3,False
UBER,35,1400,0,3,8,False
LEBONCOIN,47,1092,0,0,1,True
AIRFRANCE,56,3000,0,0,1,False
AIRFRANCE,84,900,0,0,1,False
LEBONCOIN,24,900,0,0,0,True
GOOGLE,21,3500,0,0,1,True
AMAZON,40,988,0,0,0,False
EASYJET,67,700,0,0,1,False
AMAZON,56,7100,0,0,1,False
PAYPAL,61,800,0,0,0,False
AIRFRANCE,54,2503,0,0,0,False
GOOGLE,39,832,0,0,0,False
AMAZON,45,947,0,0,0,False
ZARA,31,2700,0,1,2,False
ZARA,38,2100,0,3,3,True
EASYJET,84,1100,0,0,1,True
AMAZON,28,1100,0,2,5,False
HM,19,700,0,1,1,True
EASYJET,67,800,0,0,1,False
LEBONCOIN,22,500,0,0,0,False
LEBONCOIN,43,536,0,0,0,True
EASYJET,62,800,0,0,1,False
LEBONCOIN,23,1000,0,0,0,False
ZARA,88,1900,0,0,2,True
AMAZON,49,502,0,0,1,False
GOOGLE,48,882,0,0,1,False
ZARA,27,2500,0,0,0,False
UBER,25,1800,0,0,8,False
GOOGLE,23,1800,0,1,5,True
ZARA,35,1873,0,0,0,False
EASYJET,82,900,0,0,0,True
EASYJET,85,1400,0,0,0,False
LEBONCOIN,23,1100,0,0,0,False
AIRFRANCE,77,900,0,0,1,False
GOOGLE,22,500,0,0,1,False
GOOGLE,26,1600,0,2,4,True
LEBONCOIN,29,1900,0,1,1,False
AMAZON,61,3200,0,1,1,False
AIRFRANCE,40,3000,0,0,0,False
EASYJET,76,1500,0,0,0,False
EASYJET,61,900,0,0,1,False
LEBONCOIN,54,2555,0,0,1,False
LEBONCOIN,38,557,0,0,0,False
GOOGLE,25,1400,0,0,5,False
AMAZON,67,7200,0,0,0,False
GOOGLE,45,733,0,0,0,False
ZARA,33,2600,0,0,0,False
LEBONCOIN,20,400,0,0,0,False
AIRFRANCE,71,900,0,0,1,False
ZARA,48,2000,0,0,1,False
PAYPAL,87,2300,0,1,1,False
HM,28,1600,0,1,3,False
EASYJET,70,1200,0,0,1,False
AMAZON,43,1616,0,0,1,False
AMAZON,44,806,0,0,1,True
AMAZON,54,1561,0,0,1,False
GOOGLE,20,2400,0,2,4,False
AMAZON,67,2400,0,0,8,False
ZARA,45,1800,0,0,0,False
AIRFRANCE,53,3600,0,0,1,True
HM,22,700,0,1,1,False
UBER,83,900,0,0,9,True
LEBONCOIN,49,980,0,0,0,False
LEBONCOIN,21,2600,0,0,0,False
AMAZON,56,5100,0,0,1,False
EASYJET,29,1400,0,0,6,False
LEBONCOIN,36,1653,0,1,1,False
AIRFRANCE,54,2506,0,1,1,False
GOOGLE,43,2485,0,0,1,False
PAYPAL,59,2700,0,0,0,False
LEBONCOIN,30,1900,0,0,0,False
UBER,71,1300,0,3,5,False
HM,18,500,0,0,0,False
AIRFRANCE,49,4000,0,0,1,True
GOOGLE,22,2300,0,1,6,False
HM,50,2492,0,0,1,False
AMAZON,61,7100,0,0,1,False
HM,30,1200,0,1,2,True
EASYJET,23,2400,0,0,0,False
GOOGLE,81,2100,0,1,4,False
AMAZON,45,5800,0,0,0,False
HM,21,1100,0,0,1,True
HM,30,2700,0,1,3,True
ZARA,44,1300,0,0,0,False
HM,27,2600,0,0,3,False
GOOGLE,21,3000,0,0,1,True
AMAZON,40,2306,0,0,0,False
ZARA,42,900,0,0,0,False
HM,47,2585,0,0,0,True
AMAZON,57,7400,0,0,1,False
AIRFRANCE,60,6500,0,0,1,False
AMAZON,46,758,0,0,1,False
LEBONCOIN,25,1500,0,0,2,False
EASYJET,87,800,0,0,1,False
AMAZON,60,5100,0,0,1,False
GOOGLE,26,2300,0,2,4,False
ZARA,85,2700,0,1,4,False
LEBONCOIN,27,2238,0,0,0,False
EASYJET,80,1100,0,0,0,True
AIRFRANCE,67,1400,0,0,1,True
GOOGLE,22,1100,0,1,1,False
EASYJET,87,1100,0,0,1,False
LEBONCOIN,38,583,0,0,1,False
GOOGLE,19,3700,0,1,8,True
GOOGLE,21,2800,0,1,4,True
GOOGLE,36,3000,0,4,6,False
AIRFRANCE,62,2500,0,0,1,False
LEBONCOIN,29,1400,0,1,9,False
EASYJET,29,1600,0,0,1,True
AIRFRANCE,88,1600,0,0,0,False
LEBONCOIN,19,400,0,1,1,False
LEBONCOIN,88,1400,0,1,9,True
EASYJET,78,1300,0,0,0,True
ZARA,32,1200,0,0,2,False
GOOGLE,87,2700,0,2,6,False
